,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
113,101900,רמת השרון,מזדה CX-5 CX-5 EXECUTIVE,2017,1998 ליטר בנזין,101726,2,אוטומטי,לבן,פרטית,4,2019,361,53,82,43
114,63000,נתניה,סיאט לאון LEON FR,2015,1395 ליטר בנזין,147000,5,ידני,שנהב לבן,פרטית,10,1424,553,70,24,28
116,83000,חולון,סיאט לאון LEON FR,2014,1798 ליטר בנזין,97000,1,אוטומטי,בורדו,פרטית,4,1693,553,16,60,11
118,112500,ראשון לציון,ניסאן X TRAIL X-TRAIL TEKNA,2017,1598 ליטר דיזל,150000,2,אוטומטי,אדום,פרטית,1,2019,467,0,54,38
119,300000,ירכא,ג'יפ רנגלר JEEP WRANGLER SPORT S,2022,1995 ליטר בנזין,6600,1,אוטומטי,אפור,פרטית,9,4731,133,6,76,16
120,132000,נתניה,סובארו XV XV CROSSTYLE,2021,1995 ליטר בנזין,83000,1,אוטומטי,שנהב לבן,פרטית,1,2130,504,70,76,28
121,140000,ירכא,מזדה 3 MAZDA 3 SPIRIT,2021,1998 ליטר בנזין,23000,2,אוטומטי,כסף,פרטית,6,2130,343,46,82,16
123,96900,חדרה,ניסאן קשקאי QASHQAI ACENTA,2019,1332 ליטר בנזין,124130,1,אוטומטי,לבן,ליסינג,6,1835,483,53,13,10
126,280000,ירכא,מרצדס C קלאס C300 AMG FLT FL,2019,1991 ליטר בנזין,37100,1,אוטומטי,אפור כהה מטלי,פרטית,6,3357,414,10,71,16
127,128900,חיפה,קיה ספורטז' SPORTAGE URBAN,2019,1999 ליטר בנזין,31529,1,אוטומטי,שנהב לבן,פרטית,8,1835,735,70,84,12
128,55000,חיפה,רנו קאדג'ר KADJAR ZEN,2016,1197 ליטר בנזין,130000,2,אוטומטי,שנהב לבן,ליסינג,5,1584,759,70,2,12
129,79900,רעננה,מזדה 3 MAZDA 3 SPORT,2017,1998 ליטר בנזין,104000,1,אוטומטי,שנהב לבן,ליסינג,8,1604,344,70,82,44
130,126900,ראשון לציון,יונדאי טוסון TUCSON PANORAMIC,2019,1999 ליטר בנזין,56000,1,אוטומטי,אפור,פרטית,2,2019,296,6,84,38
133,485312,ירכא,מרצדס C קלאס C300 AMG SPORT,2022,1991 ליטר בנזין,2189,1,אוטומטי,שנהב לבן,פרטית,5,4731,415,70,71,16
134,380000,חיפה,מרצדס GLC 200 4MATIC AMG LINE FLT,2021,1991 ליטר בנזין,10000,1,אוטומטי,שנהב לבן,פרטית,3,4731,444,70,71,12
136,62000,בת ים,רנו גראנד קופה COUPE ZEN,2017,1461 ליטר דיזל,160000,1,אוטומטי,לבן,פרטית,6,1604,748,53,29,7
138,110000,ירושלים,יונדאי טוסון TUCSON OPEN SKY,2016,1999 ליטר בנזין,124000,2,אוטומטי,שנהב לבן,השכרה,4,1693,295,70,84,15
139,99900,חיפה,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,49000,1,אוטומטי,בז מטאלי,פרטית,8,1584,297,19,84,12
140,25000,קרית שמונה,קיה פיקנטו PICANTO EX,2011,998 ליטר בנזין,170000,3,ידני,כסוף כהה,פרטית,4,880,738,42,150,37
141,85900,עפולה,פיג'ו 3008 3008 ACTIVE,2017,1560 ליטר דיזל,144000,2,אוטומטי,שנהב לבן,פרטית,2,1835,691,70,43,32
142,86000,חיפה,מיצובישי ASX ASX INTENSE,2018,1998 ליטר בנזין,80000,1,אוטומטי,כסף מטלי,פרטית,1,1604,373,49,82,12
143,74900,ראשון לציון,סוזוקי בלנו BALENO GLX,2020,1242 ליטר בנזין,68900,1,אוטומטי,כסף מטלי,פרטית,11,1102,525,49,6,38
144,80000,חיפה,קיה פיקנטו PICANTO EX,2019,1248 ליטר בנזין,17000,1,אוטומטי,שנהב לבן,פרטית,6,1102,738,70,7,12
145,45000,עפולה,רנו קפצ'ור CAPTUR RESSION PACK,2015,1197 ליטר בנזין,100000,3,אוטומטי,קרם,פרטית,2,1424,769,63,2,32
149,67500,תל אביב יפו,פורד אדג' EDGE SEL,2014,3497 ליטר בנזין,155000,1,אוטומטי,שנהב לבן,ליסינג,3,1962,653,70,131,48
150,107900,רמת השרון,קיה סטוניק STONIC LX,2021,998 ליטר בנזין,31343,1,אוטומטי,שנהב לבן,פרטית,3,1529,725,70,150,43
151,89999,נס ציונה,יונדאי איוניק HYBRID PREMIUM,2018,1580 ליטר בנזין,114000,1,אוטומטי,שנהב לבן,ליסינג,5,1604,283,70,44,25
152,81900,באר טוביה,טויוטה קורולה COROLLA SUN,2017,1598 ליטר בנזין,95000,1,אוטומטי,שנהב לבן,ליסינג,8,1604,236,70,53,5
154,35900,חיפה,יונדאי I20 I20 INSIGHT,2014,1396 ליטר בנזין,134000,2,אוטומטי,אפור מטל,ליסינג,3,985,261,13,26,12
156,97900,תל אביב יפו,ניסאן קשקאי QASHQAI ACENTA,2018,1197 ליטר בנזין,70000,1,אוטומטי,לבן,פרטית,4,1604,483,53,2,48
158,68500,ראשון לציון,סקודה ראפיד RAPID AMBITION,2018,999 ליטר בנזין,140000,1,אוטומטי,שנהב לבן,פרטית,13,1353,623,70,151,38
159,32000,שדרות,טויוטה קורולה COROLLA SUN,2010,1598 ליטר בנזין,200000,2,אוטומטי,תכלת מטאלי,ליסינג,1,1262,236,72,53,45
160,29990,עפולה,רנו קליאו CLIO EX PACK PLUS,2016,1197 ליטר בנזין,140000,4,אוטומטי,אפור כהה מטלי,השכרה,5,1205,761,10,2,32
